frame,e2e_ms,pre_ms,infer_ms,post_ms,cpu_util_pct,ram_used_mb,gpu_util_pct,vram_used_mb,power_w
196,28.182400157675147,1.0319000575691462,17.003399785608053,9.85389994457364,9.7,14554.73046875,38,801.73046875,13.37
197,24.697199929505587,0.9538000449538231,11.289000045508146,12.139400001615286,8.8,14554.73046875,38,801.73046875,13.37
198,22.20180002041161,1.1844998225569725,11.514100013300776,9.183000074699521,12.5,14554.6953125,38,801.73046875,13.37
199,23.044100031256676,0.9498000144958496,12.599800014868379,9.232399985194206,16.4,14554.70703125,38,801.73046875,13.371
200,22.619500057771802,0.9584999643266201,11.271500028669834,10.093600023537874,13.2,14554.71875,38,801.73046875,13.371
201,23.23849988169968,1.1372000444680452,12.023699935525656,9.794000070542097,15.2,14554.76171875,32,801.73046875,13.371
202,21.8602002132684,1.0591000318527222,11.02500013075769,9.471699828281999,13.9,14554.390625,32,801.73046875,13.371
203,23.014700040221214,1.8454999662935734,10.764300124719739,10.01710002310574,17.2,14554.39453125,32,801.73046875,13.473
204,22.96769991517067,1.0220999829471111,12.504100101068616,9.153099963441491,22.2,14554.390625,32,801.73046875,13.473
205,24.329699808731675,1.034500077366829,13.222499983385205,9.766299976035953,8.2,14554.390625,32,801.73046875,13.473
206,22.070199949666858,1.0470000561326742,11.459900066256523,9.26060019992292,39.3,14554.390625,32,801.73046875,13.473
207,22.509000031277537,0.9424998424947262,11.33119990117848,9.975999826565385,10.7,14554.390625,32,801.73046875,13.473
208,22.582100005820394,0.956699950620532,11.33989985100925,9.987100027501583,23.3,14554.3671875,32,801.73046875,13.569
209,21.863200003281236,1.0376002173870802,11.382499942556024,9.184200083836913,9.1,14554.3203125,32,801.73046875,13.569
210,22.268000058829784,0.9576999582350254,11.379199801012874,9.652500040829182,22.9,14554.33984375,32,801.73046875,13.569
211,21.951699862256646,0.9672001469880342,11.670100037008524,9.044100064784288,9.8,14554.37109375,32,801.73046875,13.569
212,21.829900098964572,0.9471999946981668,11.15469983778894,9.450800018385053,13.9,14554.375,32,801.73046875,13.802
213,21.437000017613173,0.974099850282073,11.500000022351742,8.684400003403425,14.8,14554.375,32,801.73046875,13.802
214,21.43269986845553,1.0210999753326178,11.394599918276072,8.753499947488308,12.8,14554.375,32,801.73046875,13.802
215,22.23709993995726,0.8396001067012548,11.5021001547575,9.584099985659122,19.4,14554.36328125,32,801.73046875,13.802
216,22.195099852979183,1.065799966454506,11.884300038218498,8.972200099378824,14.3,14554.36328125,32,801.73046875,13.996
217,21.67890011332929,0.9550999384373426,11.766599956899881,8.671800140291452,100.0,14554.36328125,32,801.73046875,13.996
218,21.7718998901546,1.087399898096919,11.550899827852845,8.839499903842807,1.0,14554.34765625,32,801.73046875,13.996
219,22.10989990271628,1.0469001717865467,12.043199967592955,8.740699850022793,40.0,14554.34765625,32,801.73046875,13.996
220,23.43600010499358,1.045699929818511,11.752000078558922,10.339400032535195,6.0,14554.34765625,32,801.73046875,13.996
221,24.36779998242855,0.9548000525683165,12.07029982469976,11.04799984022975,11.5,14554.34765625,32,801.73046875,14.234
222,22.060099989175797,0.9737999644130468,11.488999938592315,9.33989998884499,9.4,14554.34765625,32,801.73046875,14.234
223,21.207400131970644,0.9132002014666796,10.981400031596422,9.027300169691443,12.5,14554.34765625,32,801.73046875,14.234
224,21.92159998230636,0.9665999095886946,11.636900017037988,9.040100034326315,5.7,14554.34765625,32,801.73046875,14.234
225,38.734300062060356,1.0981999803334475,21.136000053957105,16.23069983907044,10.4,14554.19921875,32,801.73046875,14.491
226,21.941700018942356,1.0641999542713165,10.783700039610267,9.796499973163009,1.9,14554.19921875,32,801.73046875,14.491
227,38.94550004042685,1.1267999652773142,12.646999908611178,24.87060008570552,7.6,14553.96875,32,801.73046875,14.491
228,23.673600051552057,1.0098000057041645,11.400500079616904,10.94729988835752,7.8,14552.2890625,32,801.73046875,14.662
229,23.743599886074662,1.1069001629948616,12.001700000837445,10.324399918317795,8.7,14550.98828125,32,801.73046875,14.662
230,22.905300138518214,0.999300042167306,11.112699983641505,10.51970012485981,10.5,14550.09765625,32,801.73046875,14.662
231,25.920500047504902,1.20749999769032,15.027499990537763,9.38740000128746,10.3,14549.93359375,32,801.73046875,14.662
232,22.075399989262223,0.9421999566257,11.93900010548532,8.895100094377995,19.4,14545.34375,32,801.73046875,14.843
